symbol,earnings_datetime,active,notes
KEYS,2026-08-18 16:00,yes,Keysight Technologies | earnings presentation 16:30 ET after market close
NDSN,2026-08-19 16:00,yes,Nordson Corporation | earnings presentation 17:00 ET after market close
ROST,2026-08-20 16:00,yes,Ross Stores | earnings presentation 17:00 ET after market close
ZOOM,2026-08-25 16:00,yes,Zoom Communications | earnings presentation 17:00 ET after market close
NVDA,2026-08-26 16:00,yes,Nvidia Corporation | earnings presentation 17:00 ET after market close
MRVL,2026-08-27 16:00,yes,Marvell Technology | earnings presentation 17:00 ET after market close
PANW,2026-09-01 16:00,yes,Palo Alto Networks | earnings presentation 17:00 ET after market close
SNOW,2026-09-02 16:00,yes,Snowflake | earnings presentation 17:00 ET after market close
DELL,2026-09-03 16:00,yes,Dell Technologies | earnings presentation 17:00 ET after market close
LULU,2026-09-03 16:00,yes,Lululemon Athletica | earnings presentation 17:00 ET after market close
