timestamp,symbol,signal,paper_action,base_price,current_price,change_percent,notes
2026-05-10 02:38:50.158080,AAPL,NO_SIGNAL,PAPER EVALUATION: no trade signal,293.32,293.32,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:38:50.460930,MSFT,NO_SIGNAL,PAPER EVALUATION: no trade signal,415.12,415.12,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:38:50.758436,TSLA,NO_SIGNAL,PAPER EVALUATION: no trade signal,428.35,428.35,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:38:51.056384,NVDA,NO_SIGNAL,PAPER EVALUATION: no trade signal,215.2,215.2,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:38:51.364409,META,NO_SIGNAL,PAPER EVALUATION: no trade signal,609.63,609.63,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:38:51.662466,AMZN,NO_SIGNAL,PAPER EVALUATION: no trade signal,272.68,272.68,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:38:51.969330,GOOGL,NO_SIGNAL,PAPER EVALUATION: no trade signal,400.8,400.8,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:38:52.281144,BTC,NO_SIGNAL,PAPER EVALUATION: no trade signal,80861.82,80845.84,-0.02,Paper trade idea only. No real order placed.
2026-05-10 02:38:52.581358,ETH,NO_SIGNAL,PAPER EVALUATION: no trade signal,2330.83,2330.38,-0.02,Paper trade idea only. No real order placed.
2026-05-10 02:40:13.610762,AAPL,NO_SIGNAL,PAPER EVALUATION: no trade signal,293.32,293.32,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:40:13.901925,MSFT,NO_SIGNAL,PAPER EVALUATION: no trade signal,415.12,415.12,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:40:14.202304,TSLA,NO_SIGNAL,PAPER EVALUATION: no trade signal,428.35,428.35,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:40:14.491242,NVDA,NO_SIGNAL,PAPER EVALUATION: no trade signal,215.2,215.2,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:40:14.831851,META,NO_SIGNAL,PAPER EVALUATION: no trade signal,609.63,609.63,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:40:15.144978,AMZN,NO_SIGNAL,PAPER EVALUATION: no trade signal,272.68,272.68,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:40:15.494919,GOOGL,NO_SIGNAL,PAPER EVALUATION: no trade signal,400.8,400.8,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:40:15.797900,BTC,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,80852.76,80852.77,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:40:16.075429,ETH,NO_SIGNAL,PAPER EVALUATION: no trade signal,2330.64,2330.64,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:40:49.289031,BTC,NO_SIGNAL,PAPER EVALUATION: no trade signal,80852.76,80852.76,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:40:49.607690,ETH,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,2330.64,2330.65,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:59:57.420915,AAPL,NO_SIGNAL,PAPER EVALUATION: no trade signal,293.32,293.32,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:59:57.722967,MSFT,NO_SIGNAL,PAPER EVALUATION: no trade signal,415.12,415.12,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:59:58.022489,TSLA,NO_SIGNAL,PAPER EVALUATION: no trade signal,428.35,428.35,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:59:58.327029,NVDA,NO_SIGNAL,PAPER EVALUATION: no trade signal,215.2,215.2,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:59:58.625061,META,NO_SIGNAL,PAPER EVALUATION: no trade signal,609.63,609.63,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:59:58.942162,AMZN,NO_SIGNAL,PAPER EVALUATION: no trade signal,272.68,272.68,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:59:59.269490,GOOGL,NO_SIGNAL,PAPER EVALUATION: no trade signal,400.8,400.8,0.0,Paper trade idea only. No real order placed.
2026-05-10 02:59:59.582150,BTC,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,80803.47,80809.54,0.01,Paper trade idea only. No real order placed.
2026-05-10 02:59:59.891996,ETH,NO_SIGNAL,PAPER EVALUATION: no trade signal,2330.48,2330.48,0.0,Paper trade idea only. No real order placed.
2026-05-10 03:00:34.354429,ETH,POP_FADE,PAPER IDEA: watch for pop-and-fade setup,2330.48,2330.49,0.0,Paper trade idea only. No real order placed.
2026-05-10 03:05:37.482885,BTC,NO_SIGNAL,PAPER EVALUATION: no trade signal,80803.47,80793,-0.01,Paper trade idea only. No real order placed.
2026-05-10 03:12:26.224907,AAPL,NO_SIGNAL,PAPER EVALUATION: no trade signal,293.32,293.32,0.0,Paper trade idea only. No real order placed.
2026-05-10 03:12:26.516585,MSFT,NO_SIGNAL,PAPER EVALUATION: no trade signal,415.12,415.12,0.0,Paper trade idea only. No real order placed.
2026-05-10 03:12:26.819090,TSLA,NO_SIGNAL,PAPER EVALUATION: no trade signal,428.35,428.35,0.0,Paper trade idea only. No real order placed.
2026-05-10 03:12:27.108934,NVDA,NO_SIGNAL,PAPER EVALUATION: no trade signal,215.2,215.2,0.0,Paper trade idea only. No real order placed.
