timestamp,symbol,event,base_price,current_price,change_percent,signal,paper_action,notes
54:09.7,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
54:09.7,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
54:09.7,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
56:08.9,Bitcoin ($0.1),DEMO_AUTO_CLOSE_STOP_LOSS_SENT,,,,,Close demo position,P/L=-20645.0. Demo close request sent.
56:08.9,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
56:08.9,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
56:08.9,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
56:39.2,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
56:39.2,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
56:39.2,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
57:09.8,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
57:09.8,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
57:09.8,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
19:49.1,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
19:49.1,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
19:49.1,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
20:19.1,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
20:19.1,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
20:19.1,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
20:49.1,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
20:49.1,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
20:49.1,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
22:49.0,Bitcoin ($0.1),DEMO_AUTO_CLOSE_STOP_LOSS_SENT,,,,,Close demo position,P/L=-195.0. Demo close request sent.
22:49.0,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
22:49.0,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
22:49.0,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
23:19.9,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
23:19.9,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
23:19.9,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
23:50.2,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
23:50.2,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
23:50.2,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
24:20.5,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
24:20.5,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
24:20.5,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
25:10.5,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
25:10.5,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
25:10.5,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
26:01.2,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
26:01.2,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
26:01.2,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
27:37.1,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
27:37.1,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
27:37.1,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
28:27.8,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
28:27.8,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
28:27.8,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
30:09.5,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
30:09.5,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
30:09.5,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
30:40.3,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
30:40.3,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
30:40.3,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
31:11.2,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
31:11.2,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
31:11.2,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
31:42.0,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
31:42.0,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
31:42.0,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
32:13.2,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
32:13.2,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
32:13.2,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
32:44.1,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
32:44.1,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
32:44.1,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
33:15.1,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
33:15.2,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
33:15.2,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
33:46.2,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
33:46.2,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
33:46.2,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
34:36.3,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
34:36.3,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
34:36.3,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
35:50.7,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
35:50.7,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
35:50.7,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
35:50.7,NVDA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
35:50.7,META,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
35:50.7,AMZN,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
35:50.7,GOOGL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
35:50.7,BTC,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
35:50.7,ETH,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:20.7,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:20.7,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:20.7,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:20.7,NVDA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:20.7,META,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:20.7,AMZN,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:20.7,GOOGL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:20.7,BTC,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:20.7,ETH,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:50.7,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:50.7,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:50.7,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:50.7,NVDA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:50.7,META,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:50.8,AMZN,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:50.8,GOOGL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:50.8,BTC,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
36:50.8,ETH,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:20.8,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:20.8,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:20.8,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:20.8,NVDA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:20.8,META,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:20.8,AMZN,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:20.8,GOOGL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:20.8,BTC,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:20.8,ETH,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:50.8,AAPL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:50.8,MSFT,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:50.8,TSLA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:50.8,NVDA,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:50.8,META,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:50.8,AMZN,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:50.8,GOOGL,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:50.8,BTC,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
37:50.8,ETH,WAITING_FOR_T_MINUS_15,,,,,,Waiting for earnings timing window.
38:16.7,AAPL,BASE_PRICE_SAVED,293.32,,,,,Base price saved for strategy comparison.
38:16.9,MSFT,BASE_PRICE_SAVED,415.12,,,,,Base price saved for strategy comparison.
38:17.2,TSLA,BASE_PRICE_SAVED,428.35,,,,,Base price saved for strategy comparison.
38:17.5,NVDA,BASE_PRICE_SAVED,215.2,,,,,Base price saved for strategy comparison.
38:17.8,META,BASE_PRICE_SAVED,609.63,,,,,Base price saved for strategy comparison.
38:18.1,AMZN,BASE_PRICE_SAVED,272.68,,,,,Base price saved for strategy comparison.
38:18.4,GOOGL,BASE_PRICE_SAVED,400.8,,,,,Base price saved for strategy comparison.
38:18.7,BTC,BASE_PRICE_SAVED,80861.82,,,,,Base price saved for strategy comparison.
38:19.0,ETH,BASE_PRICE_SAVED,2330.83,,,,,Base price saved for strategy comparison.
38:50.2,AAPL,SIGNAL_CHECK,293.32,293.32,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
38:50.5,MSFT,SIGNAL_CHECK,415.12,415.12,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
38:50.8,TSLA,SIGNAL_CHECK,428.35,428.35,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
38:51.1,NVDA,SIGNAL_CHECK,215.2,215.2,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
38:51.4,META,SIGNAL_CHECK,609.63,609.63,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
38:51.7,AMZN,SIGNAL_CHECK,272.68,272.68,0,NO_SIGNAL,PAPER EVALUATION: no trade signal,
